dry_gas,mail_gas,dev_gas,total_gas,dry_temp_rise,mail_temp_rise,dev_temp_rise,total_temp_rise,dry_efficiency,mail_efficiency,dev_efficiency,total_efficiency,batch_id,deviation,start_gas
12800.0,37630.0,4525.0,54955.0,-121.60000000000001,91.1,29.0,-1.5000000000000142,-0.9500000000000002,0.2420940738772256,0.6408839779005524,-0.0027295059594213706,export-roasts_PR-4464.xls,939.3,100
11980.0,32790.0,4345.0,49115.0,-127.49999999999999,88.9,28.900000000000006,-9.699999999999974,-1.0642737896494157,0.2711192436718512,0.6651323360184122,-0.01974956734195251,export-roasts_PR-4468.xls,1246.8000000000002,50
12800.0,34400.0,3715.0,50915.0,-121.7,89.30000000000001,28.5,-3.8999999999999915,-0.95078125,0.259593023255814,0.7671601615074024,-0.00765982519886083,export-roasts_PR-4469.xls,1949.0499999999997,100
12500.0,34000.0,2645.0,49145.0,-123.49999999999999,91.5,26.0,-5.999999999999986,-0.9879999999999998,0.2691176470588236,0.9829867674858223,-0.012208769966425856,export-roasts_PR-4470.xls,2312.05,50
12800.0,34210.0,2995.0,50005.0,-124.39999999999999,91.70000000000002,27.099999999999994,-5.59999999999998,-0.971875,0.26805027769657996,0.9048414023372284,-0.011198880111988762,export-roasts_PR-4471.xls,2083.6,50
12800.0,37450.0,2815.0,53065.0,-127.20000000000002,92.89999999999999,26.69999999999999,-7.600000000000037,-0.9937500000000001,0.248064085447263,0.948490230905861,-0.014322057853575872,export-roasts_PR-4472.xls,2047.9999999999995,50
12800.0,37230.0,2905.0,52935.0,-124.30000000000001,91.30000000000001,26.900000000000006,-6.099999999999994,-0.9710937500000001,0.24523233951114698,0.925989672977625,-0.011523566638330016,export-roasts_PR-4473.xls,2232.0999999999995,100
12800.0,37930.0,7185.0,57915.0,-119.0,87.19999999999999,35.599999999999994,3.799999999999983,-0.9296875,0.22989717901397308,0.49547668754349333,0.006561339894673199,export-roasts_PR-4489.xls,2647.1999999999994,100
12800.0,37710.0,5515.0,56025.0,-123.29999999999998,89.2,30.900000000000006,-3.1999999999999744,-0.9632812499999999,0.23654203129143464,0.560290117860381,-0.005711735832217714,export-roasts_PR-4515.xls,1514.8000000000002,100
12800.0,37650.0,4885.0,55335.0,-125.5,89.69999999999999,30.19999999999999,-5.600000000000023,-0.9804687499999999,0.23824701195219122,0.6182190378710335,-0.010120177103099346,export-roasts_PR-4542.xls,874.5999999999998,100
12800.0,37040.0,2305.0,52145.0,-119.1,92.49999999999999,26.900000000000006,0.29999999999999716,-0.9304687499999998,0.2497300215982721,1.1670281995661609,0.0005753188225141378,export-roasts_PR-4579.xls,2711.7499999999995,50
12800.0,37510.0,3285.0,53595.0,-122.9,92.1,28.900000000000006,-1.9000000000000057,-0.96015625,0.24553452412689947,0.879756468797565,-0.0035451068196660244,export-roasts_PR-4580.xls,1566.7999999999997,50
12800.0,37510.0,3535.0,53845.0,-116.6,91.9,29.5,4.800000000000011,-0.9109375,0.24500133297787255,0.8345120226308345,0.00891447673878728,export-roasts_PR-4581.xls,1600.8500000000004,50
12800.0,37650.0,4975.0,55425.0,-121.5,88.69999999999999,31.5,-1.3000000000000114,-0.9492187500000001,0.23559096945551125,0.6331658291457287,-0.0023455119530897814,export-roasts_PR-4589.xls,1402.849999999998,100
12800.0,37660.0,5065.0,55525.0,-123.30000000000001,88.4,31.80000000000001,-3.0999999999999943,-0.9632812500000001,0.23473181093998938,0.6278381046396844,-0.005583070688878873,export-roasts_PR-4593.xls,1237.2999999999993,100
12800.0,37570.0,3985.0,54355.0,-126.10000000000001,91.0,29.299999999999983,-5.800000000000026,-0.9851562500000001,0.2422145328719723,0.7352572145545793,-0.010670591481924433,export-roasts_PR-4606.xls,955.6499999999999,100
12800.0,37490.0,3175.0,53465.0,-124.6,92.6,28.200000000000017,-3.799999999999983,-0.9734375,0.24699919978660975,0.8881889763779534,-0.007107453474235448,export-roasts_PR-4607.xls,1886.6999999999994,50
12800.0,35060.0,3535.0,51395.0,-126.0,91.3,28.69999999999999,-6.000000000000014,-0.984375,0.26041072447233315,0.8118811881188116,-0.011674287382041081,export-roasts_PR-4608.xls,1815.1999999999998,50
12800.0,36950.0,2995.0,52745.0,-125.30000000000001,92.6,27.399999999999977,-5.30000000000004,-0.9789062500000001,0.2506089309878214,0.914858096828046,-0.010048345814769249,export-roasts_PR-4609.xls,1864.3000000000002,50
11540.0,36400.0,4795.0,52735.0,-119.89999999999999,88.0,31.400000000000006,-0.4999999999999858,-1.0389948006932408,0.24175824175824176,0.6548488008342024,-0.0009481369109699172,export-roasts_PR-4631.xls,1289.3000000000018,100
